,artist,song,artist_followers,release_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
6737,Peter Cetera,Baby What A Big Surprise,458208,1977-09-12,0.053,0.42,183667,0.451,2.32e-06,5,0.137,-4.351,1,0.0289,74.353,4,0.396,39
6738,Overkill,Crystal Clear,6559,2016-06-09,0.981,0.373,127200,0.0849,0.972,5,0.165,-23.573,1,0.0405,74.955,4,0.058,66
6739,Xiu Xiu,"Bishop, Ca",33634,2006,0.531,0.668,246187,0.533,0.0248,9,0.134,-8.823,0,0.0869,101.212,4,0.1,9
6740,Pitbull,Amanda Diva Skit,4451664,2006-10-31,0.245,0.741,41640,0.145,0.0,8,0.328,-14.908,1,0.904,94.523,1,0.633,11
6741,Loretta Lynn,I Can't Hear The Music,1098196,2007-09-17,0.584,0.516,225067,0.478,1.35e-05,9,0.0632,-8.336,0,0.0247,78.168,4,0.198,40
6742,Alphaville,Red Rose,9000811,2017-11-03,0.00575,0.669,222885,0.73,0.0,11,0.0415,-5.372,0,0.134,110.251,4,0.495,61
6743,Allman Brothers Band,Mystery Woman,0,2017-10-21,0.00886,0.698,78563,0.736,0.0,8,0.173,-9.77,1,0.374,122.939,4,0.633,30
6744,Bosson,We Will Meet Again,151060,1977,0.924,0.442,244786,0.2,0.896,0,0.257,-18.981,0,0.0396,78.834,3,0.228,43
6745,Garth Brooks,Beer Run,26101,2003,0.726,0.606,193613,0.626,0.0,9,0.714,-7.108,1,0.073,106.742,4,0.797,40
6746,Little Mix,Boy,385623,2017-09-08,0.0251,0.554,205733,0.743,0.0,9,0.359,-6.016,1,0.0287,72.997,4,0.673,79
6747,Tom Jones,Stoned In Love,402565,2009-01-01,0.000124,0.44,209787,0.962,0.0,6,0.0965,-2.248,1,0.0848,139.88,4,0.344,26
6748,Doors,Alabama Song,244242,1980,0.176,0.486,190800,0.633,0.0,9,0.312,-8.414,1,0.0365,162.158,4,0.669,60
6749,Pet Shop Boys,Shouting In The Evening,398716,2013-07-15,3.59e-06,0.595,216296,0.959,0.808,6,0.379,-5.491,0,0.0581,136.972,4,0.0772,26
6750,Unwritten Law,F.I.G.H.T.,2565039,2014-06-03,0.182,0.874,216248,0.706,0.0,1,0.334,-5.132,1,0.207,89.968,4,0.895,75
6751,Rod Stewart,Dixie Toot,582481,1974,0.263,0.245,206680,0.818,0.0,4,0.447,-7.915,1,0.0537,155.334,4,0.697,9
6752,The Killers,Deadlines And Commitments,2540632,2012-01-01,0.0842,0.671,262120,0.722,0.000143,8,0.213,-5.617,1,0.0333,104.966,4,0.386,40
6753,George Strait,Big Ball's In Cowtown,6094,1992-01-01,0.614,0.663,132240,0.492,0.0,7,0.328,-10.663,1,0.0351,121.091,4,0.943,8
6754,Uncle Kracker,Heaven,321939,2017-10-06,0.263,0.677,179507,0.556,0.0,9,0.105,-6.544,1,0.0306,80.009,4,0.521,72
6755,Dolly Parton,I Couldn't Wait Forever,401657,2009-10-26,0.521,0.608,144267,0.327,7.29e-06,2,0.0702,-11.365,1,0.0285,106.37,4,0.652,17
6756,New Order,Ultraviolence,5495915,2014-01-01,0.272,0.232,251480,0.528,1.73e-05,0,0.1,-7.077,1,0.0328,108.977,4,0.0948,56
